;Name of Added Sugar;FDA;USDA;AHA;UCSF;HSPH;Popkin;other;Product Name;URL;PN check-2019-4-1;MonstersFamilyHistory1;Family Name History2;New Family Names;Description 
250;Treacle;;;;X;;;ASR;Kilwins Red Licorice Twists Candy;https://www.kilwins.com/shop/more-favorites/red-licorice-twists;checked;Other Monsters;Other Monsters;Strange Monsters;Treacle is any uncrystallized syrup made during the refining of sugar. This sugar can be found in treacle tart, treacle sponge pudding, and licorice.
251;Trehalose;https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/sugars.html;X;;;;;ASR;Miyasaka Jozo Freeze Fried Authentic Instant Miso Soup;http://miyasaka-usa.com/freeze-dried-authentic-instant-miso-soup/;checked;OSE Monsters;OSE Monsters;OSE Monsters;Trehalose is a sugar consisting of two molecules of glucose. It is also known as mycose or tremalose and can be found in some miso soup packets and seasoned pallots.
252;Turbinado Sugar;https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/sugars.html;X;;http://dtc.ucsf.edu/pdfs/Sweeteners_04.30.10.pdf;;;ASR;Au Bon Pain Turkey Club Sandwich;https://www.aubonpain.com/(GetProductDetails)/menu?id=194;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Turbinado sugar is made from the juice of the sugar cane plant. This sugar can be found in some cold-cut turkey, bacon, and beef chili.
253;Unsulfured Molasses;;;;;;;ASR;Barbara's Bakery Better Than Granola Oats & Honey Granola Cereal;https://www.thefreshgrocer.com/pd/Barbaras-Bakery/Better-than-Granola-Oats-and-Honey-Granola-Cereal/10-oz/070617300107/;checked;Other Monsters;Other Monsters;Strange Monsters;Unsulphured molasses is made from matured cane plants that have been allowed to ripen naturally in the field. This sugar can be found in certain granola oats, biscuits, and cereals. 
254;Watermelon Juice Concentrate;;;;;;;ASR;Bai Antioxidant Infusion Kula Watermelon Flavored Water;https://www.drinkbai.com/products/kula-watermelon;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Watermelon juice concentrate is made by squeezing juice from the watermelon and removing a large percentage of the water, usually by heat. This sugar is found in watermelon flavored drinks, lemonade, and jelly beans.
255;Wheat Dextrin;;;;;;;ASR;Benefiber Original Powder Fiber Supplement;https://www.benefiber.com/fiber-supplement-products/benefiber-powder/;checked;Dextrin Monsters;Dextrin Monsters;Dextrin Monsters;Wheat dextrin is extracted from wheat starch, and widely used to add fiber in processed foods. This sugar can be found in some weight loss drinks, fiber supplements, and wheat flakes.
256;Wheat Glucose Syrup;;;;;;;ASR;Sweet Gourmet Kookaburra Black Australian Licorice Candy;http://www.sweetgourmet.com/sweetgourmet-kookaburra-black-australian-licorice.html;checked;OSE Monsters;OSE Monsters;OSE Monsters;Wheat glucose syrup is a gluten-free sweetener made most frequently from corn, but also from tapioca, potato, and sorghum or wheat starch. This sugar is found in black licorice snacks and tea. 
257;White Grain Sorghum Extract;;;;;;;;Mountain Muesli American Muesl Cherry Almond Granola;https://www.mountainmuesli.com/cereal-1/cherry-almond;checked;Other Monsters;Other Monsters;Strange Monsters;White grain sorghum extract is a binder and bodifying agent that provides viscosity for baking by retaining retain moisture. This sugar can be found in cherry almond snack mixes. 
258;White Granulated Sugar;;;;;;X;;Sunrich Naturals Strawberry Cobbler Pie;http://www.sunrich.com/recipes/dessert/sol_dessert_strawberry_cobbler.html;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;White granulated sugar is pure cane sugar that has been stripped of any molasses. This sugar can be found in some strawberry cobbler pies and chocolate.
259;White Grape Juice Concentrate;;;;;;X;;Dole 100% Fruit Juice Fruit Cherry Mixed Fruit Bowls ;https://dolesunshine.com/products/fruit-bowls/regular/cherry-mixed-fruit-in-100-juice;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;White grape juice concentrate is made by squeezing juice from the white grape and removing a large percentage of the water, usually by heat. This sugar is found in mixed fruit cups, nutrition bars, and jam.
260;White Sugar;;https://www.nal.usda.gov/sites/default/files/fnic_uploads//265-338.pdf;;http://dtc.ucsf.edu/pdfs/Sweeteners_04.30.10.pdf;;;ASR;Fun Factory Sweet Shoppe Blueberry Popcorn;https://funfactorysweets.com/products/blueberry;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;White sugar is made either of beet or cane sugar, which has undergone a refining process which removes the molasses and transforms the sugar into sucrose. this sugar is found in bbq sauce, empanadas, and cookie dough. 
261;Wildflower Honey;;;;;;;ASR;Udi Gluten Free Pure Honey Au Naturel Granola;https://udisglutenfree.com/products/gluten-free-au-naturel-granola/;checked;Other Monsters;Other Monsters;Strange Monsters;Wildflower honey is any honey that comes strictly from wildflowers. This sugar can be found in some granola packages and greek yoghurt.
262;Yellow Sugar;;;;X;;;;Culinary Tours Szechuan Style Peanut Sauce;http://culinarytoursfoods.com/product/szechwan-sauce-marinade-peanuts/;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Yellow sugar is a light brown sugar. This sugar is found in baked goods such as cakes, cinnamon buns, and pecan pie.
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
