;Name of Added Sugar;FDA;USDA;AHA;UCSF;HSPH;Popkin;other;Product Name;URL;PN check-2019-4-1;MonstersFamilyHistory1;Family Name History2;New Family Names;Description 
144;Oat Syrup Solids;;;;;;;ASR;Back To Nature Apple Cinnamon Granola Clusters;http://www.backtonaturefoods.com/what-we-make/granola/granola-clusters/apple-cinnamon-granola-clusters/;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Organic oat syrup solids are a high-solids concentrate from the natural sugaring process of oats and water. This sugar can be found in apple cinnamon granola clusters.
145;Orange Juice Concentrate;;;;;;;ASR;Bai Antioxidant Infusion Costa Rica Clementine Flavored Water;http://www.drinkbai.com/products/costa-rica-clementine;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Orange juice concentrate is made by squeezing juice from the orange and removing a large percentage of the water, usually by heat. This sugar can be found in steak sauce, some baby foods, and juices. 
146;Organic Agave Nectar;;;;X;;;ASR;The Gluten Free Bar Oatmeal Raisin Bars;https://theglutenfreebar.com/products/the-gfb-oatmeal-raisin-protein-bars-case-of-12?variant=395090025&gclid=CjwKCAiAlfnUBRBQEiwAWpPA6eSX81HgJqEWFSyJ5d6t0PSc7RjAZ14IcI78DRhdrw_62RljBMHIEBoCNZgQAvD_BwE;checked;Other Monsters;Other Monsters;Strange Monsters;To produce agave nectar from the agave plant, juice is extracted from the core of the agave, filtered, and then heated to make simple sugars. This sugar can be found in gluten free oatmeal raisin bars.
147;Organic Agave Syrup;;;;X;X;;in ASR;Nugo Organic Dark Chocolate Pomegranate Nutrition Bar;https://store.nugonutrition.com/nugo-organic-dark-chocolate-pomegranate;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Organic agave syrup is a sweetener commercially produced from several species of agave, including agave tequilana and agave salmiana. This sugar can be found in multigrain cereals.
148;Organic Apple Juice Concentrate;;;;;;;ASR;Barbara's Honest Os Honey Nut Cereal;http://barbaras.com/products/barbaras-classics/honest-os-honey-nut/;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Apple juice concentrate is made by squeezing juice from the apple and removing a large percentage of the water, usually by heat. This sugar can be found in juice and granola.
149;Organic Barley Malt Syrup;;;;X;;;ASR;Wegmans Organic Food You Feel Good About Coconut & Baobab Granola;https://www.wegmans.com/products/grocery-food/breakfast/granola/granola-organic-coconut-baobab.html;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Barley malt syrup is an unrefined sweetener processed by extraction from malt or barley. This sugar can be found in some granolas.
150;Organic Blueberry Juice Concentrate;;;;;;;in ASR;Nature's Bakery Blueberry Organic Honey & Oat Bars;https://www.naturesbakery.com/shop-snacks/organic-honey-oat-bars/organic-honey-oat-bars-blueberry-6-pack;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Blueberry juice concentrate is made by squeezing juice from the blueberry and removing a large percentage of the water, usually by heat. This sugar can be found in Nature's Bakery blueberry organic honey & oat bars.
151;Organic Brown Rice Syrup;;;;;;X;ASR;Clif Bar Builder's Chocolate Peanut Butter Flavor Protein Bar;https://www.clifbar.com/products/clif/builder-s/builders-chocolate-peanut-butter;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Organic brown rice syrup is a sweetener that is made by cooking whole-grain rice, then using enzymes to break down the starch into the different sugars. This sugar can be found in chocolate peanut butter Clif bars.
152;Organic Brown Sugar;X;X;X;X;X;;ASR;Annie's Organic Brown Sugar Cinnamon Toaster Pastries Cookie;https://www.annies.com/products/cereal/organic-brown-sugar-cinnamon-toaster-pastries;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Brown sugar is a sucrose sugar product with brown color due to the presence of molasses. This sugar can be found in Annie's Organic Brown Sugar Cinnamon Toaster Pastries Cookie.
153;Organic Cane Crystals;;;;;X;;ASR;Flying Bird Botanicals Cacao;https://www.flyingbirdbotanicals.com/collections/organic-cacao/products/cacao-especial;checked;Cane Monsters;Cane Monsters;Cane Monsters;Cane crystals are not common and are produced by one sugar company, Florida Crystals, that makes organic cane juice. They invented the name and this sugar is found in cacao. 
